,국가,대학교명,내용,번역,영한_재번역,추출요약,분류,5분류
1204,호주,Victoria University,"Two reports by Peter Sanciolo and
Stephen Gray looked at the viability
of pasteurisation for the treatment
of wastewater as an alternative to
chemical treatment. Pasteurisation
does not produce harmful by-products
and so could offer a sustainable
alternative, with a lower pre-treatment
requirement, to other disinfection
processes. The researchers teamed
up with water supply industry
researchers in Australia and the United
States for Selection of surrogate
pathogens and process indicator
organisms for pasteurisation of
municipal wastewater and for
Effectiveness and Energy
Requirements of Pasteurisation for the
Treatment of Unfiltered Secondary
Effluent from a Municipal Wastewater
Treatment Plant .","피터 산시올로가 쓴 두 건의 보고서와
스티븐 그레이는 생존 가능성을 살펴보았다.
치료를 위한 저온 살균의
의 대안으로 폐수의
화학 처리 저온 살균
유해한 부산물을 생성하지 않음
지속가능한 환경을 제공할 수 있습니다.
낮은 전처리로 대체 가능
기타 소독에 대한 요구 사항
과정. 연구원들은 팀을 이루었다.
급수업에 종사하다.
호주와 미국의 연구원들
대리인 선정에 관한 주
병원체 및 프로세스 지표
저온 살균을 위한 유기체
도시 폐수 및 용수.
효과와 에너지
의 저온 살균 요건
여과되지 않은 이차의 처리
도시 폐수 배출물
처리 공장.",Peter Sanciolo와 Stephen Grey의 두 보고서는 화학 처리의 대안으로 폐수 처리를위한 저온 살균의 생존력을 조사했습니다.저온 살균은 유해한 부산물을 생산하지 않으므로 다른 소독 프로세스에 대한 치료 전처리 요구 사항이 낮은 지속 가능한 대안을 제공 할 수 있습니다.연구원들은 시립 폐수의 저온 살균을위한 대리 병원체 및 공정 지표 유기체를 선택하기 위해 호주와 미국의 물 공급 산업 연구원들과 협력하여 시립 폐수 처리장으로부터의 필터링되지 않는 2 차 유출 물의 효과 및 에너지 요구 사항을위한 공정 지표 유기체를 선택했습니다..,시립 폐수의 저온 살균을위한 대리 병원체 및 공정 지표 유기체를 선택하기 위해 호주와 미국의 물 공급 산업 연구원들과 협력하여 시립 폐수 처리장으로부터의 필터링되지 않는 2 차 유출 물의 효과 및 에너지 요구 사항을위한 공정 지표 유기체를 선택했습니다,6,2
188,영국,University of Glasgow,"Academics from the University have contributed
to Edinburgh Shoreline’s Greening the Grey
project. An early joint public engagement
project involved a team that worked with
local schools to explore coastal biodiversity
by combining art, ecology, engineering and
biogeomorphology. Children designed and
made tiles from concrete and strapped them
to the coastal defences along the shoreline
at Cramond, encouraging colonisation by
marine seaweeds, barnacles, lichens, and other
species.","대학에서 온 학자들이 기여했습니다._x000D_
에든버러 해안의 그린 더 그레이로_x000D_
프로젝트. 조기 공동 참여_x000D_
프로젝트에는 함께 작업한 팀이 포함되었습니다._x000D_
해안의 생물 다양성을 탐구하는 지역 학교들_x000D_
예술, 생태, 공학, 그리고 을 결합함으로써_x000D_
생물 지리학 어린이 디자인 및_x000D_
콘크리트로 타일을 만들어 끈으로 묶었다._x000D_
해안선을 따라 해안 방어에._x000D_
에 의한 식민지화를 장려하는 크라몬드._x000D_
해조류, 외양간, 지의류 및 기타_x000D_
종이라고 말했다.","대학의 학자들은 에딘버러 쇼어 라인의 녹색 프로젝트에 기여했습니다.초기 공동 공공 참여 프로젝트에는 지역 학교와 협력하여 예술, 생태, 공학 및 생물 형태를 결합하여 해안 생물 다양성을 탐색하는 팀이 포함되었습니다.어린이들은 콘크리트로 타일을 설계하고 만들었고 Cramond의 해안선을 따라 해안 방어로 묶어 해양 해초, 매성, 이끼 및 기타 종의 식민지화를 장려합니다."," 공동 공공 참여 프로젝트에는 지역 학교와 협력하여 예술, 생태, 공학 및 생물 형태를 결합하여 해안 생물 다양성을 탐색하는 팀이 포함되었습니다",14,2
1660,캐나다,Carleton University,"Unsure where an item goes?
Check out the Carleton’s Waste Management Guide or the City of Ottawa’s Waste Explorer to find out how to responsibly recycle on campus.","항목이 어디로 이동하는지 확실하지 않습니까?
캠퍼스에서 책임감 있게 재활용하는 방법을 알아보려면 Carleton's Waste Management Guide 또는 City of Ottawa's Waste Explorer를 확인하십시오.",항목이 어디로 가는지 잘 모르시겠습니까?Carleton의 폐기물 관리 안내서 또는 오타와의 폐기물 탐험가를 확인하여 캠퍼스에서 책임감있게 재활용하는 방법을 알아보십시오., 폐기물 관리 안내서 또는 오타와의 폐기물 탐험가를 확인하여 캠퍼스에서 책임감있게 재활용하는 방법을 알아보십시오.,14,2
1920,홍콩,The Chinese University of Hong Kong,"CUHK cares about the harmony of people and nature, and hopes to minimize the negative impacts of humans on the environment.  CUHK encourages our staff and students to use natural resources frugally and minimize waste generation.  We have established policies on waste disposal and ethical sourcing, and taken action to reduce plastic use and food waste disposal.  Through education outreach activities, we seek to raise public awareness of the importance of sustainable consumption and production.","CUHK는 인간과 자연의 조화에 관심을 가지고 있으며, 인간이 환경에 미치는 부정적인 영향을 최소화하기를 희망한다.  CUHK는 직원과 학생들이 천연자원을 절약하고 폐기물 발생을 최소화하도록 장려합니다.  우리는 폐기물 처리와 윤리적 소싱에 대한 정책을 수립하고 플라스틱 사용과 음식물 쓰레기 처리를 줄이기 위한 조치를 취했습니다.  교육 홍보 활동을 통해 지속 가능한 소비와 생산의 중요성에 대한 대중의 인식을 제고하고자 합니다.","Cuhk는 사람과 자연의 조화에 관심이 있으며, 환경에 대한 인간의 부정적인 영향을 최소화하기를 희망합니다.CUHK는 직원과 학생들이 천연 자원을 검소하게 사용하고 폐기물 생성을 최소화하도록 권장합니다.우리는 폐기물 처리 및 윤리적 소싱에 관한 정책을 확립했으며 플라스틱 사용 및 음식물 폐기물 처리를 줄이기위한 조치를 취했습니다.우리는 교육 봉사 활동을 통해 지속 가능한 소비 및 생산의 중요성에 대한 대중의 인식을 높이고 자합니다.", 폐기물 처리 및 윤리적 소싱에 관한 정책을 확립했으며 플라스틱 사용 및 음식물 폐기물 처리를 줄이기위한 조치를 취했습니다,12,2
950,캐나다,McMaster University,"The Aquatic Behavioural Ecology Lab investigates the evolution of complex breeding systems, social
behaviour, reproductive tactics and decision-making in animal societies, primarily using fish as subjects.
Like humans, fish are vertebrates, and make good comparative model species to try to uncover the
evolution of behaviour. As well, there is a great deal of economic interest in fish as a food resource, as
a recreational sport and in the aquarium hobby. ABEL’s three main field locations are Lake Tanganyika
— the second deepest lake in the world — in the East African Rift valley; Hamilton Harbour and Lake
Ontario; and beaches in the Pacific Northwest. ","수생 행동 생태 연구소는 복잡한 번식 시스템의 진화를 조사한다.
동물 사회의 행동, 생식 전술, 의사결정, 주로 생선을 주체로 사용한다.
인간처럼, 물고기는 척추동물이고, 좋은 비교모델종이 된다.
행동의 진화 또한, 식량자원으로서 물고기에 대한 많은 경제적 관심이 있다.
레크리에이션 스포츠와 수족관 취미. ABEL의 주요 야전 위치는 탕가니카 호수이다.
— 세계에서 두 번째로 깊은 호수 - 동아프리카 리프트 계곡; 해밀턴 항과 호수
온타리오; 그리고 태평양 북서부의 해변들.","수생 행동 생태학 실험실은 복잡한 육종 시스템, 사회적 행동, 생식 전술 및 동물 사회에서의 의사 결정, 주로 물고기를 주제로 사용하는 것을 조사합니다.인간과 마찬가지로 물고기는 척추 동물이며 행동의 진화를 밝히기 위해 좋은 비교 모델 종을 만듭니다.또한, 식품 자원, 레크리에이션 스포츠 및 수족관 취미로서의 물고기에 대한 많은 경제적 관심이 있습니다.Abel의 3 가지 주요 필드 위치는 동 아프리카 리프트 계곡에서 세계에서 두 번째로 깊은 호수 인 Tanganyika 호수입니다.해밀턴 하버와 온타리오 호수;태평양 북서부의 해변.","수생 행동 생태학 실험실은 복잡한 육종 시스템, 사회적 행동, 생식 전술 및 동물 사회에서의 의사 결정, 주로 물고기를 주제로 사용하는 것을 조사합니다",14,2
227,캐나다,York University,"CENTRE FOR BEE RESEARCH
Experts from disciplines across York, including
biologists, social scientists and mathematicians,
have convened their own hive to tackle the global
crisis concerning the health and decline of bees. The
Centre for Bee Ecology, Evolution and Conservation
(BEEc) received approval by the York University’s
Senate to become the 26th Organized Research
Unit. BEEc researchers will study the health,
behaviour, biodiversity, genomics and conservation
of bees, with the goal of enhancing their
survivability and their important contribution,
through pollination, to planetary
health. Learn more here.","""꿀벌 연구 센터""
다음과 같은 요크 전역의 학문의 전문가들
생물학자들, 사회과학자들 그리고 수학자들,
전 세계에 대항하기 위해 그들 자신의 벌집을 소집했다.
벌의 건강과 쇠퇴에 관한 위기 그
벌 생태·진화·보존
(BEC)는 요크 대학교의 승인을 받았다.
상원, 제26대 조직적 연구로 선정
팀. BEEC 연구원들이 건강을 연구할 것이고,
행동, 생물 다양성, 유전체학 및 보존
꿀벌의 양을 증가시키기 위해
생존가능성과 그들의 중요한 기여,
수분작용을 통해, 행성으로.
건강. 자세한 내용은 여기를 참조하십시오.""","생물 학자, 사회 과학자 및 수학자를 포함한 요크 전역의 분야의 꿀벌 연구 전문가 센터는 꿀벌의 건강과 쇠퇴에 관한 세계적인 위기를 해결하기 위해 자신의 벌집을 소집했습니다.BEEC (Bee Ecology, Evolution and Conservation) 센터는 York University의 상원 의원으로부터 26 번째 조직화 된 연구 부서가되기 위해 승인을 받았습니다.BEEC 연구원들은 생존 가능성과 수분을 통해 행성 건강에 대한 중요한 기여를 향상시키기 위해 꿀벌의 건강, 행동, 생물 다양성, 유전체학 및 보존을 연구 할 것입니다.여기에서 자세히 알아보십시오.","생물 학자, 사회 과학자 및 수학자를 포함한 요크 전역의 분야의 꿀벌 연구 전문가 센터는 꿀벌의 건강과 쇠퇴에 관한 세계적인 위기를 해결하기 위해 자신의 벌집을 소집했습니다",15,2
266,캐나다,Concordia University,"CONSERVATION BIOLOGY RESEARCH
In addition to its focus on fisheries, the Fraser Lab focuses
on how population diversity within species arises, evolves
and persists in the face of natural and human-induced
environmental changes, and its consequences for species
conservation and restoration programs, fisheries management,
global conservation planning initiatives and policy associated
with biodiversity science. Led by Professor Dylan Fraser,
the lab’s research commonly involves collaboration with
governmental agencies, Indigenous communities and nongovernmental
organizations.","""보존 생물학 연구""
Fraser Lab은 어업에 중점을 두고 있으며,
종 내 개체군 다양성이 어떻게 발생하는지에 대해, 진화한다.
자연적, 인간에 의해 유발되는 자연적 환경에서도 지속된다.
환경 변화와 종에 대한 결과
보존 및 복원 프로그램, 어업 관리,
글로벌 보존 계획 이니셔티브 및 관련 정책
생물 다양성 과학으로요 딜런 프레이저 교수가 이끄는
연구소의 연구는 일반적으로 와의 협력을 포함한다.
정부 기관, 원주민 공동체 및 비정부 기관
조직""이라고 말했습니다.","보존 생물학 연구 어업에 중점을 둔 프레이저 랩 (Fraser Lab)은 자연 및 인간으로 인한 환경 변화에 직면하여 종 내 인구 다양성이 어떻게 발생하고, 진화하고 지속되는지, 종 보존 및 복원 프로그램, 어업 관리에 대한 결과에 중점을 둡니다., 생물 다양성 과학과 관련된 글로벌 보존 계획 이니셔티브 및 정책.Dylan Fraser 교수가 이끄는이 실험실의 연구는 일반적으로 정부 기관, 원주민 커뮤니티 및 비정부 조직과의 협력을 포함합니다.", 생물 다양성 과학과 관련된 글로벌 보존 계획 이니셔티브 및 정책,15,2
1453,홍콩,University of Hong Kong,"The Jockey Club Water Initiative on Sustainability and Engagement (JC-WISE) continues to promote water-use efficiency through the concept of “Water Footprint”. Jointly launched by JC-WISE, CEDARS and the Sustainability Office, with involvement from campus catering outlets, “Water Wise Campus” is a campus-wide awareness campaign that aims to increase water conservation behaviour among students and staff. Catering outlets across campus display the “Water Footprint”, or the water intensity, of various dishes to encourage consumers to make environmentally conscious choices. JC-WISE also launched the “My River, My Community” Scheme, a series of expert-led field trips in Hong Kong to enhance participants’ ecological, social, cultural, and environmental knowledge of river basins.","JC-WISE(Jockey Club Water Initiative on Sustainability and Engagement)는 ""물 발자국""이라는 개념을 통해 물 사용 효율성을 지속적으로 홍보하고 있습니다. JC-WISE, CEDARS 및 지속가능성 사무소가 공동으로 시작한 ""Water Wise Campus""는 학생과 직원 간의 물 절약 행동을 증가시키는 것을 목표로 하는 캠퍼스 전체의 인식 캠페인입니다. 캠퍼스 전체에 걸쳐 있는 음식점은 소비자들이 환경을 의식한 선택을 하도록 장려하기 위해 다양한 요리의 ""물 발자국"" 즉, 물의 강도를 표시합니다. JC-WISE는 또한 참가자들의 강 유역에 대한 생태, 사회, 문화, 환경 지식을 향상시키기 위해 홍콩에서 전문가 주도의 현장 학습인 ""나의 강, 나의 공동체"" 계획을 시작했습니다.","지속 가능성 및 참여에 관한 Jockey Club Water Initiative (JC-WISE)는“물 발자국”이라는 개념을 통해 물 사용 효율성을 계속 촉진하고 있습니다.JC-Wise, Cedars와 Sustainability Office가 공동으로 시작하여 캠퍼스 케이터링 아울렛의 참여로“Water Wise Campus”는 학생과 교직원 간의 물 절약 행동을 증가시키는 캠퍼스 전체 인식 캠페인입니다.캠퍼스 전역의 케이터링 아울렛은 소비자가 환경 의식적인 선택을하도록 장려하기 위해 다양한 요리의“물 발자국”또는 물 강도를 보여줍니다.JC-Wise는 또한 홍콩에서 일련의 전문가 주도의 현장 여행 인“My River, My Community”계획을 시작하여 강 유역에 대한 참가자의 생태 학적, 사회적, 문화적, 환경 지식을 향상 시켰습니다.", 전역의 케이터링 아울렛은 소비자가 환경 의식적인 선택을하도록 장려하기 위해 다양한 요리의“물 발자국”또는 물 강도를 보여줍니다,6,2
161,영국,University of Glasgow,"The University works closely with Scottish Water to help seek solutions to some of the world’s most pressing issues, including clean water and sanitation, sustainable management of the environment, and extracting energy and resources from waste. ","그 대학은 깨끗한 물과 위생, 환경의 지속 가능한 관리, 그리고 쓰레기로부터 에너지와 자원을 추출하는 것을 포함하여 세계에서 가장 시급한 몇몇 문제들에 대한 해결책을 찾는 것을 돕기 위해 스코틀랜드 물과 긴밀히 협력합니다.","대학은 스코틀랜드 물과 긴밀히 협력하여 깨끗한 물 및 위생, 환경 관리, 폐기물에서 에너지와 자원 추출을 포함하여 세계에서 가장 시급한 문제 중 일부에 대한 솔루션을 찾는 데 도움을줍니다.","대학은 스코틀랜드 물과 긴밀히 협력하여 깨끗한 물 및 위생, 환경 관리, 폐기물에서 에너지와 자원 추출을 포함하여 세계에서 가장 시급한 문제 중 일부에 대한 솔루션을 찾는 데 도움을줍니다.",6,2
60,캐나다,Waterloo,"Biology Programs
Biology explores how species in the natural world live
and interact with the environment around them. In our programs, students can study the human body, the ecology of plants and animals on land and in water, biological processes at the molecular level, and the detailed and complex interactions that take place within and among biological organisms. Understanding biology helps us maintain the rich and diverse ecosystem in which we live and helps define our place within it.","《바이오 프로그램》
생물학은 자연계의 종들이 어떻게 살고 그들 주변의 환경과 상호 작용하는지를 탐구한다. 우리의 프로그램에서, 학생들은 인간의 신체, 육지와 물에 있는 식물과 동물의 생태, 분자 수준의 생물학적 과정, 그리고 생물학적 유기체 내에서 그리고 생물 유기체들 사이에서 일어나는 상세하고 복잡한 상호 작용을 연구할 수 있다. 생물학에 대한 이해는 우리가 살고 있는 풍부하고 다양한 생태계를 유지하는데 도움을 주고 그 안에서 우","생물학 프로그램 생물학은 자연 세계의 종들이 어떻게 주변 환경과 어떻게 살고 상호 작용하는지 탐구합니다.우리의 프로그램에서 학생들은 인체, 육상과 물에서 식물과 동물의 생태, 분자 수준의 생물학적 과정, 생물학적 유기체 내에서 그리고 생물학적 유기체에서 발생하는 상세하고 복잡한 상호 작용을 연구 할 수 있습니다.생물학을 이해하면 우리가 살고있는 풍부하고 다양한 생태계를 유지하고 그 안에서 우리의 위치를 정의하는 데 도움이됩니다."," 프로그램에서 학생들은 인체, 육상과 물에서 식물과 동물의 생태, 분자 수준의 생물학적 과정, 생물학적 유기체 내에서 그리고 생물학적 유기체에서 발생하는 상세하고 복잡한 상호 작용을 연구 할 수 있습니다",15,2
520,뉴질랜드,Auckland universitiy,"Assessing underwater ecosystems / There is a worldwide pollution threat as nitrate from fertiliser runoff kills fish, triggers toxic algal blooms and renders drinking waterundrinkable. In New Zealand, a dairying boom has contributed tonitrate seeping into the rivers, streams and aquifers. A Universitymicrobiologist, Kim Handley, is delving into the underground world todiscover previously unknown microbe communities in the groundwaterthat flows into rivers and lakes, irrigates land, and provides drinkingwater. Kim and her team have found nitrate that leaches into water tobe the most pervasive threat. They are working on finding out what livesin the underground water, learning what the role of these microbes inthe nitrogen cycle is and gaining clues on how they could help mitigatepollution woes. Kim is also assessing how these underwater ecosystems could be used to monitor pollution. In a three-year project,Kim, doctoral students Olivia Mosley and Emilie Gios, and externalcollaborators including Dr Louise Weaver (ISER) and Dr Karen Houghton(GNS), are concentrating on two alluvial aquifers in Canterbury, as wellas sampling wells across Auckland, Wellington and the Waikato.","수중 생태계 평가
비료 유출로 인한 질산염은 물고기를 죽이고, 독성 녹조를 유발하며, 식수를 마실 수 없게 만들기 때문에 전 세계적인 오염 위협이 있다. 뉴질랜드에서는 낙농 붐이 강, 하천, 대수층으로 스며드는 질산염의 원인이 되었다. 대학 미생물학자인 킴 핸들리는 강과 호수로 흘러들어 땅을 관개하고 식수를 제공하는 지하수에서 이전에는 알려지지 않았던 미생물 군집을 발견하기 위해 지하세계를 파고 있다. 김 교수와 그녀의 팀은 물에 침출되는 질산염이 가장 만연한 위협이라는 것을 발견했다. 그들은 지하수에 무엇이 살고 있는지 알아내고, 질소 순환에서 이 미생물들의 역할이 무엇인지 알아내고, 그것들이 어떻게 오염 문제를 완화하는데 도움을 줄 수 있는지에 대한 단서를 얻기 위해 노력하고 있다. 김씨는 또한 이러한 수중 생태계가 어떻게 오염을 감시하는 데 사용될 수 있는지 평가하고 있다. 김 교수와 박사과정 학생 올리비아 모즐리, 에밀리에 지오스 박사, 그리고 루이스 위버 박사, 카렌 호튼 박사 등 외부 협력자들이 캔터베리에 있는 두 개의 충적 대수층뿐만 아니라 오클랜드, 웰링턴, 와이카토에 걸쳐 있는 우물을 샘플링하는 데 집중하고 있다.","수중 생태계 평가 / 비료 유출로 인한 질산염이 물고기를 죽이고, 독성 조류 꽃을 유발하며, 물을 불러 일으킬 수있게함으로써 전 세계적으로 오염 된 오염 위협이 있습니다. 뉴질랜드에서는 유제품 붐이 강, 개울 및 대수층에 톤이 스며 들었습니다. 대학교 이성 학자 인 김 핸들리 (Kim Handley)는 지하 세계에서 이전에 알려지지 않은 미생물 공동체가 지하수에서 강과 호수로 흐르고 땅을 관개하며 술을 제공합니다. 킴과 그녀의 팀은 질산염이 가장 널리 퍼진 위협에 이르기까지 물에 침출되는 것을 발견했습니다. 그들은 지하수에 사는 것이 무엇인지 알아 내고, 질소주기에서 이러한 미생물의 역할이 무엇인지 배우고, 고통을 완화하는 데 어떻게 도움이 될 수 있는지에 대한 단서를 얻기 위해 노력하고 있습니다. Kim은 또한 이러한 수중 생태계가 오염을 모니터링하는 데 어떻게 사용될 수 있는지 평가하고 있습니다. 3 년간의 프로젝트에서 Kim, Kim, 박사 과정 학생 Olivia Mosley 및 Emilie Gios 및 Louise Weaver 박사 (ISER)와 Karen Houghton 박사 (GNS)를 포함한 외부 콜라 보이터는 캔터베리의 두 충적 대수층에 집중하고 있습니다. 웰링턴과 와이 카토.","수중 생태계 평가 / 비료 유출로 인한 질산염이 물고기를 죽이고, 독성 조류 꽃을 유발하며, 물을 불러 일으킬 수있게함으로써 전 세계적으로 오염 된 오염 위협이 있습니다. 뉴질랜드에서는 유제품 붐이 강, 개울 및 대수층에 톤이 스며 들었습니다. 대학교 이성 학자 인 김 핸들리 (Kim Handley)는 지하 세계에서 이전에 알려지지 않은 미생물 공동체가 지하수에서 강과 호수로 흐르고 땅을 관개하며 술을 제공합니다. 킴과 그녀의 팀은 질산염이 가장 널리 퍼진 위협에 이르기까지 물에 침출되는 것을 발견했습니다. 그들은 지하수에 사는 것이 무엇인지 알아 내고, 질소주기에서 이러한 미생물의 역할이 무엇인지 배우고, 고통을 완화하는 데 어떻게 도움이 될 수 있는지에 대한 단서를 얻기 위해 노력하고 있습니다. Kim은 또한 이러한 수중 생태계가 오염을 모니터링하는 데 어떻게 사용될 수 있는지 평가하고 있습니다. 3 년간의 프로젝트에서 Kim, Kim, 박사 과정 학생 Olivia Mosley 및 Emilie Gios 및 Louise Weaver 박사 (ISER)와 Karen Houghton 박사 (GNS)를 포함한 외부 콜라 보이터는 캔터베리의 두 충적 대수층에 집중하고 있습니다. 웰링턴과 와이 카토.",6,2
236,캐나다,Concordia University,"WATER-SAVING ACTIVITIES ON CAMPUS
Concordia is undertaking a variety of efforts to curtail water
overuse, including a storm water management system on Loyola
Campus, a university-wide water management program and
data collection to monitor water use and find new ways to
cut back. Water-saving activities on campus include For Love
of Water, a project designed to make the university more
sustainable while meeting water-usage goals outlined by the
Government of Quebec and the City of Montreal.","""캠퍼스의 물 절약 활동
콩코디아는 물을 줄이기 위해 다양한 노력을 하고 있다.
Loyola의 빗물 관리 시스템을 포함한 과도한 사용
캠퍼스, 대학 전체의 물 관리 프로그램 그리고
물 사용을 모니터링하고 새로운 방법을 찾기 위한 데이터 수집
삭감하다. 캠퍼스 내 물 절약 활동에는 For Love가 포함된다.
대학을 더 많이 만들기 위해 고안된 프로젝트인 물의
수자원 보호 목표를 달성하는 동안 지속 가능
퀘벡 정부와 몬트리올 시""라고 말했다.","캠퍼스 콩코르 디아에서의 물 절약 활동은로 yola 캠퍼스의 우수 관리 시스템, 대학 전체의 물 관리 프로그램 및 데이터 수집을 포함하여 물 사용을 모니터링하고 새로운 방법을 찾는 새로운 방법을 찾기 위해 물을 남용하는 다양한 노력을 기울이고 있습니다.캠퍼스에서의 물 절약 활동에는 퀘벡 정부와 몬트리올 시가 요약 한 물 사용 목표를 달성하는 동시에 대학을보다 지속 가능하게 만드는 프로젝트 인 Love of Water가 포함됩니다.", 물 절약 활동에는 퀘벡 정부와 몬트리올 시가 요약 한 물 사용 목표를 달성하는 동시에 대학을보다 지속 가능하게 만드는 프로젝트 인 Love of Water가 포함됩니다.,6,2
1090,파키스탄,National University of Sciences & Technology,"Water Conservation Awareness Walk
Against the backdrop of a worsening water crisis in Pakistan and prompted by the potential threat of
turning into a water-scarce country, NUST has embarked on a robust countrywide campaign to raise
awareness on water conservation among the general masses. As the saying goes, “charity begins at
home,” NUST kicked off the massive campaign, starting with an intra-NUST drive, wherein students,
faculty and staff were educated about the imminent threats of water scarcity and the urgency both for
individual and collective efforts to convert this disastrous situation into an opportunity.
NUST has already advanced to the second tier of its campaign, which aims to awake common people to
the looming water crisis. In this context, NUST organized a “Water Conservation Walk”. An overwhelming
number of students, faculty and people from different walks of life participated in the water-friendly walk.
They were holding placards and banners inscribed with slogans like “water conservation is our national
duty” etc. Water Awareness Stalls were installed at various frequently visited spots in Islamabad.","물 절약 의식 산책
악화되고 있는 파키스탄의 물 위기의 배경과 잠재적인 위협으로 인해 촉발되었다.
물 부족 국가로 변모한 NUST는 강력한 전국적인 모금 운동에 착수했다.
일반 대중들 사이의 물 절약에 대한 의식 속담에 있듯이, ""자선은 에서 시작된다.
NUST는 학생들이 NUST 내 캠페인을 시작으로 대대적인 캠페인을 시작했다.
교수진과 직원들은 물 부족의 임박한 위협과 긴급성에 대해 교육을 받았다.
이 비참한 상황을 기회로 바꾸기 위한 개인적이고 집단적인 노력
NUST는 이미 캠페인의 2단계에 진출했는데, 이 캠페인은 일반인들을 깨우는 것을 목표로 하고 있다.
다가오는 물 위기 이런 맥락에서 국립대학은 ""물 보존 산책""을 조직했다. 압도적
물 친화적인 산책에는 다양한 계층의 학생, 교수진, 사람들이 참여했다.
이들은 ""물보전은 우리의 국가""라는 구호가 새겨진 플래카드와 현수막을 들고 있었다.
의무"" 등 이슬라마바드의 자주 방문하는 다양한 장소에 물 인식 스톨이 설치되었다.","수자원 보존 인식은 파키스탄의 물 위기가 악화되는 물 위기의 배경에 대한 걸음에 반대하고 물이 많은 국가로 전환 할 수있는 잠재적 위협으로 인해 일반 대중들 사이에서 물 보존에 대한 인식을 높이기 위해 강력한 국가 전역의 캠페인을 시작했습니다. “자선은 집에서 시작됩니다”라고 말하면서 Nust는 대규모 캠페인을 시작하여 학생, 교직원 및 교직원이 물 부족의 임박한 위협과 개인과 집단의 긴급성에 대해 교육을 받았습니다. 이 비참한 상황을 기회로 전환하려는 노력. Nust는 이미 캠페인의 두 번째 계층으로 발전했으며, 이는 평범한 사람들이 다가오는 물 위기에 깨어있는 것을 목표로합니다. 이러한 맥락에서 Nust는“물 절약 산책”을 조직했습니다. 압도적 인 수의 학생, 교수진 및 다른 삶의 사람들이 물 친화적 인 산책에 참여했습니다. 그들은“물 보존은 우리의 국가 의무”등과 같은 슬로건이 새겨진 플래 카드와 배너를 들고 있었다. 물 인식 마구간은 이슬라마바드의 다양한 자주 방문하는 장소에 설치되었다.","수자원 보존 인식은 파키스탄의 물 위기가 악화되는 물 위기의 배경에 대한 걸음에 반대하고 물이 많은 국가로 전환 할 수있는 잠재적 위협으로 인해 일반 대중들 사이에서 물 보존에 대한 인식을 높이기 위해 강력한 국가 전역의 캠페인을 시작했습니다. “자선은 집에서 시작됩니다”라고 말하면서 Nust는 대규모 캠페인을 시작하여 학생, 교직원 및 교직원이 물 부족의 임박한 위협과 개인과 집단의 긴급성에 대해 교육을 받았습니다. 이 비참한 상황을 기회로 전환하려는 노력. Nust는 이미 캠페인의 두 번째 계층으로 발전했으며, 이는 평범한 사람들이 다가오는 물 위기에 깨어있는 것을 목표로합니다. 이러한 맥락에서 Nust는“물 절약 산책”을 조직했습니다. 압도적 인 수의 학생, 교수진 및 다른 삶의 사람들이 물 친화적 인 산책에 참여했습니다. 그들은“물 보존은 우리의 국가 의무”등과 같은 슬로건이 새겨진 플래 카드와 배너를 들고 있었다. 물 인식 마구간은 이슬라마바드의 다양한 자주 방문하는 장소에 설치되었다.",6,2
96,오스트레일리아,Newcastle australia,"WORKING TOGETHER
The Wollotuka Institute has been working with Hunter Water to share Indigenous knowledge and values around clean water availability and protection. This has involved interviews with Aboriginal people from the region to educate Hunter Water
on dreaming stories about water, particular places of value, natural markers related to water and climate, and to seek
their views on specific options like recycled water, desalination and dams.","""함께 일하는 중""
월로투카 연구소는 깨끗한 물의 이용 가능성과 보호에 관한 원주민의 지식과 가치를 공유하기 위해 헌터워터와 협력해왔다. 이 행사는 헌터 워터에게 물과 관련된 꿈의 이야기, 특정한 가치 있는 장소, 물과 기후와 관련된 자연 지표에 대해 교육하고 재활용된 물, 담수화, 댐과 같은 구체적인 옵션에 대한 그들의 견해를 구하기 위해 그 지역의 원주민들과 인터뷰하는 것을 포함했다.","Wollotuka Institute는 함께 일하면서 헌터 워터와 협력하여 깨끗한 물 가용성과 보호에 대한 토착 지식과 가치를 공유하고 있습니다.여기에는이 지역의 원주민과의 인터뷰에서 물, 특정 가치의 장소, 물 및 기후와 관련된 자연 마커에 대한 꿈의 이야기에 대한 사냥꾼 물을 교육하고 재활용 물, 담수화 및 댐과 같은 특정 옵션에 대한 견해를 찾는 것이 포함되었습니다."," 지역의 원주민과의 인터뷰에서 물, 특정 가치의 장소, 물 및 기후와 관련된 자연 마커에 대한 꿈의 이야기에 대한 사냥꾼 물을 교육하고 재활용 물, 담수화 및 댐과 같은 특정 옵션에 대한 견해를 찾는 것이 포함되었습니다.",6,2
